dimension,avg_precision,avg_recall,correct_predictions
50,0.9775477742259474,0.9775477742259474,16806.0
100,0.9775477671452597,0.9775477671452597,16806.0
150,0.9775080893316553,0.9775080893316553,16806.0
200,0.9776667651826347,0.9776667651826347,16806.0
300,0.97772627128201,0.97772627128201,16806.0
