epoch,average_precision,average_recall
10,0.9689199031664032,0.9689199031664032
15,0.9730453761622417,0.9730453761622417
25,0.9759014919150584,0.9759014919150584
35,0.9763973654554867,0.9763973654554867
50,0.9771114315673013,0.9771114315673013
