loss_function,avg_precision,avg_recall,correct_predictions
ns,0.976536202399664,0.976536202399664,16806.0
hs,0.9740172347714823,0.9740172347714823,16806.0
softmax,0.9760998420392984,0.9760998420392984,16806.0
